DATE,TIME,Power,Prediction,Ratio
2018/1/1,0:00,412,401.0,77.0
2018/1/1,1:00,424,418.0,79.0
2018/1/1,2:00,432,433.0,80.0
2018/1/1,3:00,436,437.0,81.0
2018/1/1,4:00,438,438.0,81.0
2018/1/1,5:00,425,430.0,79.0
2018/1/1,6:00,407,409.0,76.0
2018/1/1,7:00,374,374.0,70.0
2018/1/1,8:00,372,370.0,69.0
2018/1/1,9:00,364,348.0,68.0
2018/1/1,10:00,341,344.0,63.0
2018/1/1,11:00,326,339.0,61.0
2018/1/1,12:00,326,338.0,60.0
2018/1/1,13:00,332,338.0,62.0
2018/1/1,14:00,329,342.0,61.0
2018/1/1,15:00,339,351.0,63.0
2018/1/1,16:00,354,362.0,66.0
2018/1/1,17:00,371,376.0,69.0
2018/1/1,18:00,372,378.0,69.0
2018/1/1,19:00,375,379.0,70.0
2018/1/1,20:00,371,376.0,69.0
2018/1/1,21:00,367,371.0,68.0
2018/1/1,22:00,352,358.0,65.0
2018/1/1,23:00,368,369.0,68.0
2018/1/2,0:00,362,381.0,68.0
2018/1/2,1:00,370,390.0,70.0
2018/1/2,2:00,382,397.0,72.0
2018/1/2,3:00,389,409.0,73.0
2018/1/2,4:00,393,414.0,74.0
2018/1/2,5:00,393,406.0,74.0
2018/1/2,6:00,382,395.0,72.0
2018/1/2,7:00,360,371.0,68.0
2018/1/2,8:00,370,370.0,70.0
2018/1/2,9:00,376,361.0,71.0
2018/1/2,10:00,355,352.0,67.0
2018/1/2,11:00,345,346.0,65.0
2018/1/2,12:00,330,347.0,62.0
2018/1/2,13:00,325,348.0,61.0
2018/1/2,14:00,320,347.0,60.0
2018/1/2,15:00,342,356.0,65.0
2018/1/2,16:00,368,382.0,70.0
2018/1/2,17:00,386,402.0,73.0
2018/1/2,18:00,389,402.0,73.0
2018/1/2,19:00,384,397.0,72.0
2018/1/2,20:00,383,398.0,72.0
2018/1/2,21:00,377,393.0,71.0
2018/1/2,22:00,363,380.0,68.0
2018/1/2,23:00,378,397.0,71.0
2018/1/3,0:00,373,363.0,75.0
2018/1/3,1:00,386,376.0,77.0
2018/1/3,2:00,402,384.0,80.0
2018/1/3,3:00,414,394.0,83.0
2018/1/3,4:00,415,399.0,83.0
2018/1/3,5:00,414,396.0,83.0
2018/1/3,6:00,404,385.0,81.0
2018/1/3,7:00,374,367.0,75.0
2018/1/3,8:00,379,377.0,76.0
2018/1/3,9:00,386,383.0,77.0
2018/1/3,10:00,363,367.0,73.0
2018/1/3,11:00,344,353.0,69.0
2018/1/3,12:00,340,350.0,68.0
2018/1/3,13:00,336,352.0,67.0
2018/1/3,14:00,342,356.0,68.0
2018/1/3,15:00,357,372.0,71.0
2018/1/3,16:00,381,391.0,76.0
2018/1/3,17:00,399,408.0,80.0
2018/1/3,18:00,403,418.0,81.0
2018/1/3,19:00,402,413.0,80.0
2018/1/3,20:00,398,398.0,80.0
2018/1/3,21:00,390,380.0,78.0
2018/1/3,22:00,376,370.0,75.0
2018/1/3,23:00,401,379.0,80.0
2018/1/4,0:00,398,398.0,74.0
2018/1/4,1:00,407,410.0,75.0
2018/1/4,2:00,415,424.0,77.0
2018/1/4,3:00,425,428.0,79.0
2018/1/4,4:00,433,434.0,80.0
2018/1/4,5:00,428,432.0,79.0
2018/1/4,6:00,423,417.0,78.0
2018/1/4,7:00,398,401.0,74.0
2018/1/4,8:00,404,402.0,75.0
2018/1/4,9:00,398,404.0,74.0
2018/1/4,10:00,393,400.0,73.0
2018/1/4,11:00,392,396.0,73.0
2018/1/4,12:00,385,393.0,71.0
2018/1/4,13:00,396,399.0,73.0
2018/1/4,14:00,408,394.0,76.0
2018/1/4,15:00,421,404.0,78.0
2018/1/4,16:00,433,415.0,80.0
2018/1/4,17:00,442,436.0,82.0
2018/1/4,18:00,442,441.0,82.0
2018/1/4,19:00,432,434.0,80.0
2018/1/4,20:00,421,424.0,78.0
2018/1/4,21:00,408,418.0,75.0
2018/1/4,22:00,386,403.0,72.0
2018/1/4,23:00,396,413.0,73.0
2018/1/5,0:00,390,410.0,74.0
2018/1/5,1:00,404,423.0,76.0
2018/1/5,2:00,417,431.0,79.0
2018/1/5,3:00,426,436.0,80.0
2018/1/5,4:00,431,441.0,81.0
2018/1/5,5:00,423,440.0,80.0
2018/1/5,6:00,425,433.0,80.0
2018/1/5,7:00,413,424.0,78.0
2018/1/5,8:00,426,424.0,81.0
2018/1/5,9:00,431,422.0,81.0
2018/1/5,10:00,426,429.0,80.0
2018/1/5,11:00,419,430.0,79.0
2018/1/5,12:00,402,416.0,76.0
2018/1/5,13:00,416,429.0,79.0
2018/1/5,14:00,416,433.0,79.0
2018/1/5,15:00,425,434.0,80.0
2018/1/5,16:00,442,437.0,83.0
2018/1/5,17:00,448,441.0,85.0
2018/1/5,18:00,444,442.0,84.0
2018/1/5,19:00,433,434.0,82.0
2018/1/5,20:00,420,429.0,79.0
2018/1/5,21:00,403,427.0,76.0
2018/1/5,22:00,385,403.0,73.0
2018/1/5,23:00,399,416.0,75.0
2018/1/6,0:00,394,403.0,71.0
2018/1/6,1:00,410,410.0,74.0
2018/1/6,2:00,420,424.0,75.0
2018/1/6,3:00,427,439.0,77.0
2018/1/6,4:00,428,444.0,77.0
2018/1/6,5:00,422,441.0,76.0
2018/1/6,6:00,415,436.0,75.0
2018/1/6,7:00,391,419.0,70.0
2018/1/6,8:00,400,425.0,72.0
2018/1/6,9:00,402,414.0,72.0
2018/1/6,10:00,401,400.0,72.0
2018/1/6,11:00,398,395.0,72.0
2018/1/6,12:00,374,385.0,67.0
2018/1/6,13:00,379,399.0,68.0
2018/1/6,14:00,392,417.0,71.0
2018/1/6,15:00,420,436.0,76.0
2018/1/6,16:00,437,459.0,79.0
2018/1/6,17:00,447,453.0,80.0
2018/1/6,18:00,449,448.0,81.0
2018/1/6,19:00,439,444.0,79.0
2018/1/6,20:00,432,440.0,78.0
2018/1/6,21:00,428,419.0,77.0
2018/1/6,22:00,412,407.0,74.0
2018/1/6,23:00,430,413.0,77.0
2018/1/7,0:00,428,403.0,79.0
2018/1/7,1:00,438,422.0,81.0
2018/1/7,2:00,447,435.0,83.0
2018/1/7,3:00,452,440.0,84.0
2018/1/7,4:00,455,445.0,84.0
2018/1/7,5:00,448,437.0,83.0
2018/1/7,6:00,445,419.0,82.0
2018/1/7,7:00,415,390.0,77.0
2018/1/7,8:00,415,387.0,77.0
2018/1/7,9:00,413,381.0,76.0
2018/1/7,10:00,396,373.0,73.0
2018/1/7,11:00,377,362.0,70.0
